question2_en,question2_ko
"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?","물리학과 화학에 대한 참고자료로 어떤 책을 선택해야 합니까(11학년, CBSE 보드)?"
"National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?","NITK(National Institute of Technology Karnataka), Surathkal: 졸업하는 학생들에게: 떠나기 전에 후배들에게 어떤 교훈을 주고 싶습니까?"
What is the best romantic movie you have ever seen?,당신이 본 최고의 로맨스 영화는 무엇입니까?
What causes nightmares that seem real?,현실처럼 보이는 악몽의 원인은 무엇입니까?
What are some of the major influences of abstract expressionism?,추상 표현주의의 주요 영향은 무엇입니까?
How do 3D printing work?,3D 프린팅은 어떻게 작동하나요?
Who are some notable folks who attended Caltech?,Caltech에 다녔던 주목할만한 사람들은 누구입니까?
What is a Horcrux?,호크룩스란 무엇입니까?
What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,제품 기반 소프트웨어 회사에서 제품 관리자 또는 프로그램 관리자가 되기 위한 일반적인 요구 사항은 무엇입니까?
How could I get Skype to work on an android 4.1.1 phone?,Android 4.1.1 휴대폰에서 Skype를 작동시키려면 어떻게 해야 합니까?
Will there be a nuclear war between India and Pakistan?,인도와 파키스탄 사이에 핵전쟁이 일어날 것인가?
How did Ronald Reagan react to 9/11?,로널드 레이건은 9/11에 어떻게 반응했는가?
How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,미국 남북전쟁 당시 남부연합군은 어떻게 게티즈버그에서 연합군을 격파할 수 있었습니까?
Which are some of the best fiction novels?,최고의 소설 소설에는 어떤 것이 있나요?
What should I do if I forgot my email password?,이메일 비밀번호를 잊어버린 경우 어떻게 해야 합니까?
How demonetisation could affect the GDP of India in both short run and long run?,화폐폐쇄가 단기적으로나 장기적으로 인도의 GDP에 어떤 영향을 미칠 수 있습니까?
Can WhatsApp be hacked?,WhatsApp이 해킹될 수 있나요?
What is the difference between love and pity?,사랑과 연민의 차이점은 무엇입니까?
How competitive is the hiring process at S & T Bank?,S&T은행 채용 경쟁률은 얼마나 되나요?
"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page","Google 자연 검색결과 간의 트래픽 분포는 어떻게 되나요? 예를 들어 순위 1위 vs 2위, 첫 번째 페이지 vs. 두 번째 페이지"
Where can I watch sarrainodu with subtitles?,사라노두를 자막으로 볼 수 있는 곳은 어디인가요?
Why is the USA the most powerful country of the world?,미국이 세계 최강국인 이유는 무엇일까요?
What is better for a low back pain: heat or ice?,허리통증에는 온찜질과 냉찜질 중 무엇이 더 좋을까요?
How do you think of Chinese food?,중국 음식에 대해 어떻게 생각하시나요?
Is it worse to take advantage of someone or be materialistic?,"누군가를 이용하는 것이 더 나쁜가요, 아니면 물질주의적인 것이 더 나쁜가요?"
Why do we cry?,우리는 왜 울어요?
Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,오늘날과 (디지털) 시대에 십대 소녀들(및 일반 여성)은 왜 남자 친구가 자신의 나체 사진을 찍는 것을 허용합니까?
"How do Winston and Julia differ in the novel ""1984""? How are they similar?","소설 ""1984""에서 윈스턴과 줄리아는 어떻게 다른가요? 그들은 어떻게 유사합니까?"
What are some mind-blowing technologies that exist that most people don't know about?,대부분의 사람들이 모르는 놀라운 기술은 무엇입니까?
What is the cheapest toothpaste?,가장 저렴한 치약은 무엇입니까?
How can I ask a question without getting marked as ‘need to improve’?,'개선 필요'로 표시되지 않고 질문을 하려면 어떻게 해야 하나요?
"If every state of the USA declared war against each other, which would win?",미국의 모든 주가 서로 전쟁을 선포하면 어느 주가 승리할까요?
What mineral can hold the greatest electrical charge?,가장 큰 전하를 보유할 수 있는 광물은 무엇입니까?
What is the greatest mystery of all time?,역사상 가장 큰 미스터리는 무엇입니까?
How do I over-sample a multi-class imbalance data set?,다중 클래스 불균형 데이터 세트를 어떻게 과잉 샘플링합니까?
Why does China support Masood Azhar?,중국은 왜 마수드 아자르를 지지하는가?
What is the meaning of the future?,미래의 의미는 무엇입니까?
How can Vitamin C cause a miscarriage?,비타민C는 어떻게 유산을 유발할 수 있나요?
When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,Asahi India Glass 채용 의향서를 받은 후 Call Letter는 언제 받게 됩니까?
How do I access Google.com from India?,인도에서 Google.com에 어떻게 액세스하나요?
What is a Yantra & Mantra?,얀트라와 만트라란 무엇인가요?
Which course is better in NICMAR?,NICMAR에서는 어떤 코스가 더 좋나요?
How do you register a .an domain?,.an 도메인을 어떻게 등록하나요?
Why am I attracted to older men?,나는 왜 나이 많은 남자에게 끌리는 걸까?
What is the strongest Kevlar cord?,가장 강한 케블라 코드는 무엇입니까?
Who are the Rohingya people?,로힝야족은 누구인가?
Does it matter whether humanity is evil or not?,인류가 악한지 아닌지가 중요합니까?
What are examples of passive transport in cells?,세포 내 수동 수송의 예는 무엇입니까?
"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",대머리가 되어 2년 동안 머리를 밀고 머리를 기르면 처음과 같은 머리결이 될까요? 아니면 머리카락이 더 빠지나요?
What's life after retirement?,은퇴 후 생활은 어떤가요?
What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,"북한의 대량살상무기 보유에 대해 파키스탄은 어떤 입장을 갖고 있는가? 북한을 지지하는가, 아니면 반대하는가?"
How do I find a good escort?,좋은 에스코트를 어떻게 찾을 수 있나요?
What is the best diet for a growing decathlete?,성장하는 10종 경기 선수를 위한 최고의 식단은 무엇입니까?
Does a black hole have a finite mass?,블랙홀의 질량은 유한합니까?
What are your views about this Morgan Freeman quote about Racism?,인종차별에 관한 모건 프리먼의 인용문에 대해 어떻게 생각하시나요?
Does Uber currently offer new employees stock options or RSUs?,Uber는 현재 신입 직원에게 스톡옵션이나 RSU를 제공하나요?
Is there a good pay for reviews site out there?,리뷰 사이트에 대한 좋은 급여가 있습니까?
In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,4명의 어린이에게 사과 12개를 나누어 모든 어린이가 사과 2개 이상을 받을 수 있는 방법은 몇 가지입니까?
How much on average would it cost to video tape a 2 hour presentation?,2시간짜리 프레젠테이션을 비디오 테이프에 담는 데 평균 비용이 얼마나 드나요?
Can I take rabies injection after 1 day of dog bite?,개에게 물린 지 1일 후 광견병 주사를 맞아도 되나요?
What is the standard amount of time off given for an international relocation?,해외 이주에 주어지는 표준 휴가 기간은 얼마입니까?
How do you stop being afraid of everything?,모든 것에 대한 두려움을 어떻게 멈추나요?
Why does Red keep the keys in season 4 of Orange is the New Black?,Red가 Orange is the New Black 시즌 4에서 열쇠를 유지하는 이유는 무엇입니까?
"At what age, how, and where did you lose your virginity?","몇 살에, 어떻게, 어디서 처녀성을 잃었나요?"
How can I forget my wife?,아내를 어떻게 잊을 수 있습니까?
How could snoke be darth plagueis if he was killed by the emperor?,스노크가 황제에게 죽임을 당했다면 어떻게 다스 페스트가 될 수 있었나요?
How do you upload movies on YouTube and monetize them? Is there any issue of copyright,YouTube에 영화를 어떻게 업로드하고 수익을 창출하나요? 저작권 문제는 없나요
What tripod should I get for my Canon 6D?,Canon 6D에는 어떤 삼각대를 구입해야 합니까?
How does Quora look to a moderator?,Quora는 중재자에게 어떻게 보입니까?
Why is no one answering my questions in Quora?,Quora에서 내 질문에 아무도 답변하지 않는 이유는 무엇입니까?
What is the funniest joke of all time?,역사상 가장 웃긴 농담은 무엇입니까?
"If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",노르웨이를 떠나는 경우 BSU 계좌로 모기지를 갚은 다음 BSU 취득으로 받은 세금 공제를 갚지 않고 아파트를 팔 수 있나요?
What do Americans think about the United Kingdom?,미국인들은 영국에 대해 어떻게 생각하나요?
How can I use Twitter for business?,트위터를 업무용으로 어떻게 사용할 수 있나요?
How can I send money from my PayPal account to my Skrill account to withdraw?,PayPal 계정에서 Skrill 계정으로 돈을 보내 인출하려면 어떻게 해야 합니까?
Which is the Best earphones under Rs 1000?,1000원 이하 이어폰 어떤게 좋을까요?
Can a Government employee apply IEC?,공무원도 IEC를 신청할 수 있나요?
"Which is correct: ""speak with"" or ""speak to""?",'말하다'와 '말하다' 중 어느 것이 맞나요?
What is the best field of engineering?,공학의 가장 좋은 분야는 무엇입니까?
"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?","왜 내 삶에 감정적으로 학대하는 사람들이 있는 걸까요? 여러 명의 전 남자친구, 친구, 과거 동료/상사가 학대자였습니다. 나는 그들을 끌어들이는가?"
"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?","내 주급과 고용주가 합의한 연봉 사이에 차이가 있는 것 같은데, 어떻게 되나요?"
Why are there so many Christians in Kerala?,케랄라에는 왜 그렇게 많은 기독교인이 있습니까?
How can I speak with more clarity and confidence?,어떻게 하면 좀 더 명확하고 자신감 있게 말할 수 있나요?
"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?","힌두 신화, 그리스 신화, 이집트 신화 등의 신들 사이에 어떤 유사점을 그릴 수 있습니까?"
Should I switch from Spotify to Apple Music?,Spotify에서 Apple Music으로 전환해야 합니까?
What is the best fixed income fund?,최고의 고정 수입 펀드는 무엇입니까?
"What is it like to live in Köln, Germany? ",독일 쾰른에서의 생활은 어떤가요? 
"Who do you regard as the best actor, Robert De Niro or Al Pacino?",당신이 생각하는 최고의 배우는 로버트 드니로와 알 파치노 중 누구입니까?
Why do some people prefer to live with small family?,왜 어떤 사람들은 소규모 가족과 함께 사는 것을 선호합니까?
Do animals (besides humans) kiss?,(사람 외에) 동물도 키스를 하나요?
How can I view deleted Instagram dms?,삭제된 Instagram DM을 어떻게 볼 수 있나요?
How do I stop being addicted to someone?,누군가에게 중독되는 것을 어떻게 멈출 수 있나요?
Would I be able to hire two private investigators and then get them to follow each other?,사설탐정 두 명을 고용해서 서로 추적하게 할 수 있을까요?
How do startup accelerators give you the funding?,스타트업 액셀러레이터는 어떻게 자금을 지원하나요?
I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,WiFi 라우터를 통해 Quora를 열 수 없습니다. 왜 모바일 네트워크를 통해서만 접속할 수 있나요?
"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?","솜 전투의 의미는 무엇이며, 이 전투가 리야드 전투와 어떻게 비교되고 대조됩니까?"
Has any college admission officer cried in public while reading an applicant's essay?,지원자의 에세이를 읽으면서 공개적으로 눈물을 흘린 대학 입학사정관이 있나요?
What happens if eye medicine enters the eye?,안약이 눈에 들어가면 어떻게 되나요?
How do I refuse to chose between different things to do in my life?,내 인생에서 해야 할 여러 가지 일 중에서 선택을 거부하려면 어떻게 해야 합니까?
"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",팬보이들은 아니길 바랍니다. 하지만 진정한 배트맨은 크리스찬 베일이나 벤 애플렉 중 누구였나요?
Which business is better to start in Hyderabad?,하이데라바드에서 어떤 사업을 시작하는 것이 더 낫습니까?
How do I stop being over possessive for a person whom I love?,내가 사랑하는 사람에 대한 지나친 소유욕을 어떻게 멈추나요?
Who is the father of lord Krishna?,크리슈나 경의 아버지는 누구입니까?
What courses must be taken along with CA course?,CA 과정과 함께 어떤 과정을 수강해야 하나요?
How do I take a screenshot on my MacBook Pro? What are some instructions?,MacBook Pro에서 어떻게 스크린샷을 찍나요? 어떤 지침이 있나요?
What is it like to work with an executive recruiter?,임원 채용 담당자와 함께 일하는 것은 어떤가요?
Why do people collect things?,사람들은 왜 물건을 수집하는 걸까요?
Are there any must watch TV shows?,꼭 시청해야 하는 TV 프로그램이 있나요?
How can I become fluent in chinese?,어떻게 하면 중국어를 유창하게 할 수 있나요?
What will be the impact of scrapping of ?500 and ?1000 rupee notes on the real estate market?,500루피 및 1000루피 지폐 폐기가 부동산 시장에 어떤 영향을 미칠까요?
What is the best way to become a billionaire?,억만장자가 되는 가장 좋은 방법은 무엇입니까?
"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",Prozac을 사용한 지 거의 2주가 지났는데도 왜 여전히 반사회적이라고 느끼고 행사에 참석하고 싶지 않습니까? 나의 사회적 행동과 기분은 왜 매일 바뀌나요?
What is the best way to start robotics? Which is the best development board that I can start working on it?,로봇 공학을 시작하는 가장 좋은 방법은 무엇입니까? 작업을 시작할 수 있는 최고의 개발 보드는 무엇입니까?
What are the reasons that people dislike Hillary Clinton?,사람들이 힐러리 클린턴을 싫어하는 이유는 무엇입니까?
"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?","왜 항상 여성이 가사, 자녀, 요리를 돌봐야 한다고 기대합니까(특히 인도 문화에서는)? 이러한 활동은 여성만의 책임인가요? 왜 남자들은 그러한 일에 동등하게 참여하지 않습니까?"
"Is atheism the lack of belief in gods, or a claim that god does not exist?","무신론은 신에 대한 믿음이 부족한 것인가, 아니면 신이 존재하지 않는다는 주장인가?"
What is Jack Dorsey like?,잭 도시(Jack Dorsey)는 어떤가요?
Which assassin has the best robes in Assassin's Creed?,Assassin's Creed에서 최고의 로브를 입은 암살자는 누구인가요?
"If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",CMYK 프린터가 컬러 잉크를 사용하여 검정색을 만들고 검정색 잉크만 보완한다면 왜 상점에서는 컬러 인쇄에 더 많은 비용을 청구합니까?
Why creativity is important?,창의성이 왜 중요한가요?
If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,힐러리 클린턴이 더 이상 민주당 후보로 활동할 수 없다면 그녀의 후임자는 어떻게 선택됩니까?
Why don't phones have a built-in FM antenna?,전화기에 FM 안테나가 내장되어 있지 않은 이유는 무엇입니까?
Himalayan or Duke KTM 200 for touring?,여행용 히말라얀 또는 듀크 KTM 200?
What are the benefits of listing a company in NSE?,NSE에 회사를 상장하면 어떤 이점이 있나요?
When does drawing become fun?,그림 그리기는 언제 재미있어지나요?
Is the neutron star made up of only neutrons?,중성자별은 중성자로만 구성되어 있나요?
Is a 3.8 GPA sufficient to get into a top school?,3.8 GPA가 일류 학교에 입학하기에 충분합니까?
What is binary options trading?,바이너리 옵션 거래란 무엇입니까?
Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,LIK와 같은 IIM을 졸업하고 Ranchi 및 Trichy와 같은 새로운 IIM을 졸업한 사람이 ABC 졸업생을 따라잡아 비슷한 패키지를 받을 수 있을까요?
How can I get started to learn information security?,정보 보안을 배우기 시작하려면 어떻게 해야 하나요?
Can I earn money on Quora?,Quora에서 돈을 벌 수 있나요?
What's the PUK for TF64SIMC4?,TF64SIMC4의 PUK는 무엇입니까?
How can I find an IT job in Japan?,일본에서 IT 일자리를 어떻게 찾을 수 있나요?
What is the best home wireless network setup and expected speeds?,최고의 홈 무선 네트워크 설정과 예상 속도는 얼마입니까?
When will the lottery reach the next billion dollar jackpot?,복권은 언제 다음 10억 달러 잭팟에 도달하게 될까요?
Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,하나로 가는 길을 쭉 운전하려면 사륜구동 차가 필요한가요?
How do I create a new Terminal and new shell in Linux using C programming?,C 프로그래밍을 사용하여 Linux에서 새 터미널과 새 셸을 어떻게 생성합니까?
Does cognitive strain affect digestion?,인지적 긴장이 소화에 영향을 미치나요?
I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,철도를 예약했는데 Tatkal 대기자 명단에 등록되어 있습니다. 취소하면 환불되나요?
What can I do to make the world a better place?,세상을 더 나은 곳으로 만들기 위해 나는 무엇을 할 수 있나요?
Who is the best LoL (League of Legends) champion?,LoL(리그 오브 레전드) 최고의 챔피언은 누구일까요?
How many liters of water should I drink if I run 5kms daily?,매일 5km를 달리면 몇 리터의 물을 마셔야 할까요?
"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?","오대호의 물은 어디에서 오며, 이 호수의 야생 동물은 코모 호수와 어떻게 비교됩니까?"
How can I book Ronda Rousey to star in an adult movie?,Ronda Rousey가 성인 영화에 출연하도록 어떻게 예약할 수 있나요?
Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,이제 트럼프 지지자들은 대통령이 그토록 강압적으로 약속한 것을 이행할 것이라고 기대합니까?
Why do we care for others' opinion and about what others think about us?,왜 우리는 다른 사람의 의견과 다른 사람이 우리에 대해 어떻게 생각하는지에 관심을 가집니까?
How do I potty train my two-month-old Labrador pup?,2개월 된 래브라도 강아지에게 배변 훈련을 어떻게 합니까?
What's the best way to jump rope?,줄넘기를 하는 가장 좋은 방법은 무엇입니까?
Which test series is the best for GATE computer science stream?,GATE 컴퓨터 과학 스트림에 가장 적합한 테스트 시리즈는 무엇입니까?
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,완전한 초보자가 컴퓨터 프로그래밍 알고리즘을 이해하려면 어떤 수학이 필요합니까? 완전 초보자에게 적합한 알고리즘 관련 책은 무엇입니까?
What is the temperament of a Corgi-Husky mix?,코기-허스키 믹스의 기질은 무엇입니까?
"How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?","0, 1, 2, 3, 4, 5, 6, 7을 사용하여 만들 수 있는 4자리 숫자는 몇 개입니까? 4000에서 6000 사이에는 몇 개가 있습니까?"
"In ""A Raisin in the Sun"", why do Walter and Beneatha argue?","""A Raisin in the Sun""에서 Walter와 Beneatha는 왜 논쟁을 벌이나요?"
